region_name,district_name,cluster_name,village_name,user_type,household_id,hhid,latrine_present,latrine_cover,paper_leaves_present,latrine_floored,latrine_envir_human_excreta_free,latrine_door,latrine_walled,latrine_roof_leak_proof,tippy_present,tippy_water_fill,soap_ash_present,latrine_envir_veg_free,cloth_hang_line_present,kitchen_present,kitchen_ventilated,kitchen_clean,bathroom_present,bathroom_drainage,compound_clean,dishrack_present,dishrack_double_pres,compost_present,rec_num_compost,standard_size_compost,compost_fill_correctly,lqd_manure_prod,org_presticide_prod,compound_gardening,biodegrade_waste_mgt,mulch_practice,vegetables,staple_crops,post_harvest_storage,water_control_practice,bbw_management,vsla_participation,visitcount,timetakentocompleteforminminutes,starttime,endtime,hhid_final,visit_date,source_file,visit_order,visit_count
South West,Kitagwenda,Kiibale,Kyitira,111000,Buh-Mar-Ger-M-154331,BUH-MAR-GER-M-154331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.10225,45406.608864525464,45406.61315878472,BUH-MAR-GER-M-154331,2024-04-24 14:36:45.895000089,coaching2,1,3
South West,Kitagwenda,Kiibale,Kyitira,111000,Buh-Mar-Ger-M-154331,BUH-MAR-GER-M-154331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,25.20748,45574.76710346065,45575.590474675926,BUH-MAR-GER-M-154331,2024-10-09 18:24:37.738999857,coaching2,2,3
South West,Kitagwenda,Kiibale,Kyitira,111000,Buh-Mar-Ger-M-154331,BUH-MAR-GER-M-154331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6.12189,45804.57439363426,45804.62315247685,BUH-MAR-GER-M-154331,2025-05-27 13:47:07.610000271,coaching2,3,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Dov-F-090959,BUH-NYA-DOV-F-090959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.59256,45422.638770081016,45422.655957650466,BUH-NYA-DOV-F-090959,2024-05-10 15:19:49.734999739,coaching2,1,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Dov-F-090959,BUH-NYA-DOV-F-090959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,3.59063,45568.685797349535,45569.59394039352,BUH-NYA-DOV-F-090959,2024-10-03 16:27:32.890999849,coaching2,2,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Dov-F-090959,BUH-NYA-DOV-F-090959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,23.82762,45791.679309259256,45803.40036072917,BUH-NYA-DOV-F-090959,2025-05-14 16:18:12.319999727,coaching2,3,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Emm-M-092420,BUH-NYA-EMM-M-092420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.41524,45422.669012025464,45422.67346704861,BUH-NYA-EMM-M-092420,2024-05-10 16:03:22.639000115,coaching2,1,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Emm-M-092420,BUH-NYA-EMM-M-092420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1.49808,45569.594334814814,45569.59501408565,BUH-NYA-EMM-M-092420,2024-10-04 14:15:50.527999920,coaching2,2,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Emm-M-092420,BUH-NYA-EMM-M-092420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,4.87804,45803.400763275466,45803.404010370374,BUH-NYA-EMM-M-092420,2025-05-26 09:37:05.947000227,coaching2,3,3
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Nic-M-093634,BUH-NYA-NIC-M-093634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.74807,45422.51093228009,45422.5343928588,BUH-NYA-NIC-M-093634,2024-05-10 12:15:44.549000009,coaching2,1,4
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Nic-M-093634,BUH-NYA-NIC-M-093634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1.5784,45569.598767731484,45569.599694606484,BUH-NYA-NIC-M-093634,2024-10-04 14:22:13.532000243,coaching2,2,4
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Nic-M-093634,BUH-NYA-NIC-M-093634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,3,5.20938,45596.513290069444,45596.51717289352,BUH-NYA-NIC-M-093634,2024-10-31 12:19:08.261999987,coaching2,3,4
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Nic-M-093634,BUH-NYA-NIC-M-093634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3.79104,45803.40430284722,45803.406797800926,BUH-NYA-NIC-M-093634,2025-05-26 09:42:11.766000015,coaching2,4,4
South West,Kitagwenda,Kiibale,Nyabusazu,111000,Buh-Nya-Pet-M-091609,BUH-NYA-PET-M-091609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.79889,45421.66178375,45421.66581076389,BUH-NYA-PET-M-091609,2024-05-09 15:52:58.116000138,coaching2,1,3
