hhid_final,wash_avg,agri_avg,vsla_avg,overall_avg,n_visits,region_name,district_name,cluster_name
BUH-MAR-GER-M-154331,1.0,0.9523809523809524,1.0,0.9841269841269842,3,,,
BUH-NYA-DOV-F-090959,1.0,0.9523809523809524,1.0,0.9841269841269842,3,,,
BUH-NYA-EMM-M-092420,1.0,0.9285714285714285,1.0,0.9761904761904763,3,,,
BUH-NYA-NIC-M-093634,1.0,0.9285714285714286,1.0,0.9761904761904763,4,,,
BUH-NYA-PET-M-091609,1.0,0.8809523809523809,1.0,0.9603174603174603,3,,,
KIT-END-ABI-M-112358,1.0,0.8809523809523809,1.0,0.9603174603174603,3,,,
KIT-END-ACL-M-152113,0.9047619047619048,0.9523809523809524,1.0,0.9523809523809524,3,,,
KIT-END-ADR-M-145120,0.9841269841269842,0.9285714285714285,0.6666666666666666,0.8597883597883599,3,,,
KIT-END-AGA-M-143540,0.9841269841269842,0.9523809523809524,0.6666666666666666,0.8677248677248678,3,,,
KIT-END-ALE-M-140148,1.0,0.9285714285714285,1.0,0.9761904761904762,3,,,
KIT-END-ALI-F-141530,0.7777777777777777,0.9285714285714285,1.0,0.902116402116402,3,,,
KIT-END-ANG-F-105029,1.0,0.9047619047619048,1.0,0.9682539682539683,3,,,
KIT-END-ANN-F-104515,1.0,0.9285714285714285,1.0,0.9761904761904763,3,,,
KIT-END-ARO-M-101741,1.0,0.9523809523809524,1.0,0.9841269841269842,3,,,
KIT-END-BED-M-090403,1.0,0.9285714285714285,1.0,0.9761904761904763,3,,,
KIT-END-BEN-M-113621,1.0,1.0,1.0,1.0,3,,,
KIT-END-BEN-M-131411,0.9365079365079364,0.9523809523809524,1.0,0.9629629629629629,3,,,
KIT-END-CHR-M-121155,1.0,1.0,1.0,1.0,3,,,
KIT-END-DIC-M-102559,1.0,0.9047619047619048,1.0,0.9682539682539684,3,,,
KIT-END-EDW-M-154638,0.9365079365079364,0.9523809523809524,1.0,0.9629629629629629,3,,,
KIT-END-ELI-F-141454,1.0,0.9523809523809524,1.0,0.9841269841269842,3,,,
KIT-END-ERI-M-115914,1.0,1.0,1.0,1.0,3,,,
KIT-END-FRA-M-105945,1.0,1.0,1.0,1.0,3,,,
KIT-END-FRE-M-104927,0.9841269841269842,0.9523809523809524,1.0,0.978835978835979,3,,,
KIT-END-GER-M-115113,1.0,0.9761904761904763,1.0,0.9920634920634921,3,,,
KIT-END-GER-M-144119,0.9047619047619048,0.9285714285714285,1.0,0.9444444444444445,3,,,
KIT-END-GIL-M-110442,1.0,0.9523809523809524,1.0,0.9841269841269842,3,,,
KIT-END-GLO-F-094619,0.9365079365079364,0.9523809523809524,1.0,0.9629629629629629,3,,,
KIT-END-GOD-M-103033,0.9841269841269842,0.9523809523809524,1.0,0.9788359788359787,3,,,
KIT-END-GOD-M-140903,0.873015873015873,1.0,1.0,0.9576719576719577,3,,,
